uuid,CRM_Desription
37c732a2-d3ea-4a0e-a85f-4277ae72d3f5,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
efb5a8b3-0cd8-4948-9319-c29813001516,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
cc8c95c9-5268-4ac2-b64e-e33874960e3e,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
61199fed-bcf0-4939-825c-2cefe191a338,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
b20e83be-d6f4-4cdc-92a8-5d9334086c0b,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
3cbf9d98-00dc-4089-a4ab-efc6ee20b5e5,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
6116f141-196a-4770-bb35-b68b3c8bfbcf,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
e993bc4d-ac24-4d7c-90aa-0a9122bf8322,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
279fbde5-cfa6-4731-a118-6422d8aa41a2,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
46fce1a2-0bb4-4163-b90c-ca519f949165,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
7fb086dc-4ff0-45e3-9072-46119dc115b4,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
69658a7e-ec15-4f58-a438-ce32c42c7e10,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
1df5d780-4108-45ff-a6f6-9bc55fd998b3,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
9d71abf7-6e13-45ac-af91-e55ef54ab300,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
31b65f48-8e48-411a-8027-c206c28a8dfb,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
8569f433-ed0e-4271-995c-81165b1c90e3,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
3a8202f2-56f2-4473-ac6b-3ba7409080f4,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
872d6432-11aa-4a22-a608-41fcef4fd4fe,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
3b037cec-826d-4141-9d67-d003146cfcba,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
6a5b6317-3549-49ca-8978-f1fad99791e0,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
d9587d76-07c1-488e-8c10-a9fca1ef1e82,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
90ee3d44-4ffd-4a00-9d54-57ef0105e2c0,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
8bb36357-1e99-4b5a-820f-3cb1b80d6b76,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
491a784f-0489-4f1a-b5af-b8cf676b900b,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
cb42814d-530c-4911-8f77-2c125e37a09b,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
9026c0ae-8c2e-4940-8b07-30ab295ed638,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
1da60696-db28-4ad6-baeb-4301c48712d9,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
dbd6c779-1a42-44ca-97a9-0a64241078d4,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
e8aeae9d-e9e2-415c-9fe6-dd7428477658,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
3b966c19-959b-496e-97da-b9e6bca6725c,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
a3df8f31-d3bb-489f-8948-7f67043c88e5,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
5665b0d7-31d6-40d5-a911-433322bbcb81,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
e7f1edb4-7676-48c1-979d-4b70aec25f72,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
76593358-ea11-4527-aa15-05b8d5313a53,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
4d5f0cd6-a766-4030-bf94-390e62c5ba0e,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
67e58254-ee3e-4083-a1ff-bc3ab105d1ac,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
