duplicate_of_latest,latest_fs_id
75960,166882
208415,217920
126599,217878
195395,217447
160755,218002
108089,217941
131856,217709
100528,217708
184449,217833
80461,218092
190354,218041
203000,218080
145260,218063
180193,217676
147981,218153
200774,218015
117946,218207
17727,218292
142263,217955
141882,217544
214678,218129
218304,218857
213135,218858
193351,218846
195699,218919
127428,218987
48848,218998
206843,219137
54923,219391
75013,219424
157100,219612
150967,219565
219291,219291
209811,219146
123348,218218
111059,219793
59748,219834
191703,219985
214328,219677
199055,220179
180087,220349
161951,220333
129671,220479
70252,220468
167396,220500
79136,220480
79136,220480
216777,220534
95156,219821
113360,220552
197350,220649
220692,220692
145063,218687
184560,220664
220291,220638
211972,220867
89801,220934
183698,220982
218513,218513
49381,221356
212424,221412
46333,219286
