id,member_id,start_date,end_date,status,equifax_rejected_at,braintree_subscription_id,braintree_plan_id,created_at,updated_at,deleted_at,payment_method_id,error_codes,error_messages,equifax_deleted_at,price,error_data,equifax_accepted_at,braintree_discount_id,discount_amount,discount_description,discount_billing_cycles,billing_frequency_in_months,is_mini_service_bundle
1863,2,"2018-04-24 22:36:12",,active,,,id_protect,"2018-04-24 22:36:12","2018-04-24 22:36:12",,,000,,,8.99,,"2018-04-24 14:46:54",,,,,1,1
1864,10,"2018-04-24 22:36:12",,active,,,id_protect,"2018-04-24 22:36:12","2018-04-24 22:36:12",,,000,,,8.99,,"2018-04-24 14:46:54",,,,,1,1
1865,24173,"2018-04-27 00:00:00",,active,,,id_protect,"2018-04-24 22:36:13","2018-04-24 22:36:13",,,000,,,8.99,,"2018-04-01 00:00:00",,,,,1,1
1866,38,"2018-04-25 17:03:45",,active,,,id_protect,"2018-04-25 17:03:45","2018-04-25 17:03:45",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1867,95,"2018-04-25 17:03:45",,active,,,id_protect,"2018-04-25 17:03:45","2018-04-25 17:03:45",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1868,108,"2018-04-25 17:03:45",,active,,,id_protect,"2018-04-25 17:03:45","2018-04-25 17:03:45",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1869,119,"2018-04-25 17:03:45",,active,,,id_protect,"2018-04-25 17:03:45","2018-04-25 17:03:45",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1870,150,"2018-04-25 17:03:45",,active,,,id_protect,"2018-04-25 17:03:45","2018-04-25 17:03:45",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1871,178,"2018-04-25 17:03:45",,active,,,id_protect,"2018-04-25 17:03:45","2018-04-25 17:03:45",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1872,252,"2018-04-25 17:03:45",,active,,,id_protect,"2018-04-25 17:03:45","2018-04-25 17:03:45",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1873,268,"2018-04-25 17:03:45",,active,,,id_protect,"2018-04-25 17:03:45","2018-04-25 17:03:45",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1874,338,"2018-04-25 17:03:45",,active,,,id_protect,"2018-04-25 17:03:45","2018-04-25 17:03:45",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1875,356,"2018-04-25 17:03:45",,active,,,id_protect,"2018-04-25 17:03:45","2018-04-25 17:03:45",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1876,358,"2018-04-25 17:03:45",,active,,,id_protect,"2018-04-25 17:03:45","2018-04-25 17:03:45",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1877,362,"2018-04-25 17:03:45",,active,,,id_protect,"2018-04-25 17:03:45","2018-04-25 17:03:45",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1878,370,"2018-04-25 17:03:45",,active,,,id_protect,"2018-04-25 17:03:45","2018-04-25 17:03:45",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1879,401,"2018-04-25 17:03:45",,active,,,id_protect,"2018-04-25 17:03:45","2018-04-25 17:03:45",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1880,451,"2018-04-25 17:03:45",,active,,,id_protect,"2018-04-25 17:03:45","2018-04-25 17:03:45",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1881,460,"2018-04-25 17:03:45",,active,,,id_protect,"2018-04-25 17:03:45","2018-04-25 17:03:45",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1882,543,"2018-04-25 17:03:45",,active,,,id_protect,"2018-04-25 17:03:45","2018-04-25 17:03:45",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1883,620,"2018-04-25 17:03:45",,active,,,id_protect,"2018-04-25 17:03:45","2018-04-25 17:03:45",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1884,626,"2018-04-25 17:03:45",,active,,,id_protect,"2018-04-25 17:03:45","2018-04-25 17:03:45",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1885,714,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1886,726,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1887,730,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1888,755,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1889,777,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1890,779,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1891,822,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1892,875,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1893,896,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1894,900,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
